ID;s;constellation;Q;mu;-K;K^4;g;
1;2;[4, 3];[[1,1,1,1,0,0,0],[0,0,0,0,1,1,1]];[1,1];[3,2];432;T[1]*T[6]+T[2]*T[5]+T[4]*T[7];
2;2;[4, 3];[[1,1,1,1,0,0,0],[0,0,0,0,1,1,1]];[2,1];[2,2];256;T[1]^2*T[6]+T[2]*T[3]*T[7]+T[4]^2*T[5];
3;2;[4, 3];[[1,1,1,1,0,0,0],[0,0,0,0,1,1,1]];[2,1];[2,2];256;T[1]^2*T[6]+T[3]^2*T[7]+T[4]^2*T[5];
4;2;[4, 3];[[1,1,1,1,0,0,0],[0,0,0,0,1,1,1]];[3,1];[1,2];80;T[1]^3*T[7]+T[3]^3*T[5]+T[4]^3*T[6];
5;2;[4, 3];[[1,1,1,1,0,0,0],[0,0,0,0,1,1,1]];[3,1];[1,2];80;T[1]^3*T[5]+T[2]^2*T[4]*T[6]+T[3]^3*T[7];
6;2;[4, 3];[[1,1,1,1,0,0,0],[0,0,0,0,1,1,1]];[1,2];[3,1];270;T[1]*T[6]^2+T[2]*T[7]^2+T[3]*T[5]^2;
7;2;[4, 3];[[1,1,1,1,0,0,0],[0,0,0,0,1,1,1]];[3,2];[1,1];26;T[1]^3*T[7]^2+T[2]^3*T[6]^2+T[3]^2*T[4]*T[5]^2;
8;2;[4, 3];[[1,1,1,1,0,0,0],[0,0,0,0,1,1,1]];[3,2];[1,1];26;T[1]^3*T[5]^2+T[3]^3*T[6]^2+T[4]^3*T[7]^2;
9;2;[5, 2];[[1,1,1,1,3,0,0],[0,0,0,0,0,1,1]];[6,0];[1,2];16;T[1]^3*T[3]^3+T[2]^5*T[4]+T[5]^2;
10;2;[5, 2];[[1,1,1,1,3,0,0],[0,0,0,0,0,1,1]];[6,0];[1,2];16;T[1]*T[4]^5+T[2]^5*T[3]+T[5]^2;
11;2;[5, 2];[[1,1,1,2,3,0,0],[0,0,0,0,0,1,1]];[6,0];[2,2];64;T[1]^4*T[2]*T[3]+T[4]^3+T[5]^2;
12;2;[5, 2];[[1,1,1,2,3,0,0],[0,0,0,0,0,1,1]];[6,0];[2,2];64;T[1]^5*T[3]+T[4]^3+T[5]^2;
13;2;[5, 2];[[1,1,1,2,3,0,0],[0,0,0,0,0,1,1]];[6,0];[2,2];64;T[1]^3*T[2]^2*T[3]+T[4]^3+T[5]^2;
14;2;[5, 2];[[1,1,1,1,2,0,0],[0,0,0,0,0,1,1]];[4,0];[2,2];128;T[1]*T[3]^3+T[2]^3*T[4]+T[5]^2;
15;2;[5, 2];[[1,1,1,1,1,0,0],[0,0,0,0,0,1,1]];[2,0];[3,2];432;T[1]*T[3]+T[2]*T[5]+T[4]^2;
16;2;[5, 2];[[1,1,1,1,1,0,0],[0,0,0,0,0,1,1]];[3,0];[2,2];192;T[1]^2*T[4]+T[2]^2*T[5]+T[3]^3;
17;2;[5, 2];[[1,1,1,1,1,0,0],[0,0,0,0,0,1,1]];[4,0];[1,2];32;T[1]^3*T[2]+T[3]^3*T[4]+T[5]^4;
18;2;[4, 3];[[1,1,2,3,0,0,0],[0,0,0,0,1,1,1]];[6,0];[1,3];54;T[1]^5*T[2]+T[3]^3+T[4]^2;
19;3;[4, 2, 1];[[1,1,1,1,0,0,-1],[0,0,0,0,1,1,1]];[1,1];[2,2];416;T[2]^2*T[7]+T[1]*T[5]+T[3]*T[6];
20;3;[4, 2, 1];[[1,1,1,1,0,0,-1],[0,0,0,0,1,1,1]];[1,1];[2,2];416;T[3]*T[4]*T[7]+T[1]*T[6]+T[2]*T[5];
21;3;[4, 2, 1];[[1,1,1,1,0,0,-1],[0,0,0,0,1,1,1]];[1,2];[2,1];163;T[2]*T[3]^2*T[7]^2+T[1]*T[5]^2+T[4]*T[6]^2;
22;3;[4, 2, 1];[[1,1,1,1,0,0,-1],[0,0,0,0,1,1,1]];[1,2];[2,1];163;T[3]^3*T[7]^2+T[2]*T[5]^2+T[4]*T[6]^2;
23;3;[4, 2, 1];[[1,1,1,1,0,0,-1],[0,0,0,0,1,1,1]];[2,1];[1,2];224;T[1]^2*T[3]*T[7]+T[2]^2*T[6]+T[4]^2*T[5];
24;3;[4, 2, 1];[[1,1,1,1,0,0,-1],[0,0,0,0,1,1,1]];[2,1];[1,2];224;T[3]^3*T[7]+T[2]^2*T[5]+T[4]^2*T[6];
25;3;[4, 2, 1];[[1,1,1,1,0,0,-1],[0,0,0,0,1,1,1]];[2,1];[1,2];224;T[4]^3*T[7]+T[1]*T[3]*T[5]+T[2]^2*T[6];
26;3;[4, 2, 1];[[1,1,1,1,0,0,-2],[0,0,0,0,1,1,1]];[1,1];[1,2];464;T[4]^3*T[7]+T[2]*T[5]+T[3]*T[6];
27;3;[4, 2, 1];[[1,1,1,1,0,0,-2],[0,0,0,0,1,1,1]];[1,1];[1,2];464;T[3]^2*T[4]*T[7]+T[1]*T[6]+T[2]*T[5];
28;3;[4, 2, 1];[[1,1,1,1,0,0,-2],[0,0,0,0,1,1,1]];[1,2];[1,1];98;T[1]^4*T[3]*T[7]^2+T[2]*T[5]^2+T[4]*T[6]^2;
29;3;[4, 2, 1];[[1,1,1,1,0,0,-2],[0,0,0,0,1,1,1]];[1,2];[1,1];98;T[1]^3*T[2]^2*T[7]^2+T[3]*T[5]^2+T[4]*T[6]^2;
30;3;[4, 2, 1];[[1,1,1,1,0,0,-2],[0,0,0,0,1,1,1]];[1,2];[1,1];98;T[4]^5*T[7]^2+T[2]*T[6]^2+T[3]*T[5]^2;
